"","loglik","p1","p2","larv","pup","mu.p","S","mud.p","pupae.zero"
"107",2219.52727515089,0.287176206510896,0.0196107128732141,0.1,0.02,0.01,4,1e-05,50
"108",2244.50312934979,0.295278951482766,0.0162969068162794,0.0833333333333333,0.02,0.01,4,1e-05,50
"109",2125.41139339869,0.133916249246473,0.0345859145572866,0.125,0.0333333333333333,0.0025,6,1e-05,50
"110",2158.02175469458,0.148823653565324,0.0294219259429164,0.1,0.0333333333333333,0.0025,6,1e-05,50
"111",2183.44563469731,0.16081286345232,0.0252978287245654,0.0833333333333333,0.0333333333333333,0.0025,6,1e-05,50
"112",2019.81227112793,0.129069013372405,0.0258004249224485,0.125,0.0222222222222222,0.0025,6,1e-05,50
"113",2051.45263168572,0.132259934340934,0.0201273498006801,0.1,0.0222222222222222,0.0025,6,1e-05,50
"114",2071.25622040792,0.146751223039037,0.0185210632403869,0.0833333333333333,0.0222222222222222,0.0025,6,1e-05,50
"115",1989.37885575377,0.129993144570117,0.0237360856047652,0.125,0.02,0.0025,6,1e-05,50
"116",2020.6775135173,0.13263943670694,0.0185400341718992,0.1,0.02,0.0025,6,1e-05,50
